epoch=0069 train=3.125673 validation=5.053747 traj_rmse=1.065841 horizon_rmse=1.040324
epoch=0070 train=3.160699 validation=3.308332 traj_rmse=0.877083 horizon_rmse=0.888573
epoch=0071 train=3.004009 validation=3.389730 traj_rmse=0.872507 horizon_rmse=0.881297
epoch=0072 train=3.056517 validation=3.210401 traj_rmse=0.879779 horizon_rmse=0.888838
epoch=0073 train=3.171826 validation=3.611337 traj_rmse=1.008703 horizon_rmse=1.018327
epoch=0074 train=3.003685 validation=3.300777 traj_rmse=0.906720 horizon_rmse=0.927547
epoch=0075 train=3.023621 validation=3.379810 traj_rmse=0.878409 horizon_rmse=0.888889
epoch=0076 train=2.997119 validation=3.619295 traj_rmse=0.904581 horizon_rmse=0.922549
epoch=0077 train=2.922864 validation=3.019309 traj_rmse=0.896443 horizon_rmse=0.902795
epoch=0078 train=3.048246 validation=3.005655 traj_rmse=0.898994 horizon_rmse=0.910080
epoch=0079 train=2.886167 validation=2.983382 traj_rmse=0.874490 horizon_rmse=0.884645
epoch=0080 train=2.834640 validation=3.342688 traj_rmse=0.932371 horizon_rmse=0.929192
download/flow-matching/dynamics/dyn-h120-ens/dyn-h120-ens.pt
