epoch=0069 train=1.880975 validation=1.851813 traj_rmse=0.871483 horizon_rmse=0.860791
epoch=0070 train=1.867114 validation=1.961063 traj_rmse=0.874959 horizon_rmse=0.865554
epoch=0071 train=1.828544 validation=1.946875 traj_rmse=0.873492 horizon_rmse=0.863645
epoch=0072 train=1.825029 validation=2.021659 traj_rmse=0.871721 horizon_rmse=0.857666
epoch=0073 train=1.799187 validation=1.822682 traj_rmse=0.859241 horizon_rmse=0.849756
epoch=0074 train=1.767140 validation=1.960949 traj_rmse=0.868171 horizon_rmse=0.858740
epoch=0075 train=1.761335 validation=1.939865 traj_rmse=0.880710 horizon_rmse=0.870272
epoch=0076 train=1.782422 validation=1.886889 traj_rmse=0.867561 horizon_rmse=0.853480
epoch=0077 train=1.784472 validation=1.782504 traj_rmse=0.871796 horizon_rmse=0.863392
epoch=0078 train=1.747529 validation=1.774200 traj_rmse=0.876032 horizon_rmse=0.865446
epoch=0079 train=1.715507 validation=1.852486 traj_rmse=0.862413 horizon_rmse=0.852258
epoch=0080 train=1.716847 validation=1.729001 traj_rmse=0.881678 horizon_rmse=0.869658
epoch=0081 train=1.701247 validation=1.818144 traj_rmse=0.882628 horizon_rmse=0.873574
epoch=0082 train=1.692449 validation=1.776050 traj_rmse=0.860168 horizon_rmse=0.850261
epoch=0083 train=1.657286 validation=1.778577 traj_rmse=0.873230 horizon_rmse=0.861474
epoch=0084 train=1.670733 validation=1.754610 traj_rmse=0.871198 horizon_rmse=0.862930
epoch=0085 train=1.640786 validation=1.870074 traj_rmse=0.867632 horizon_rmse=0.860557
epoch=0086 train=1.640163 validation=1.679774 traj_rmse=0.856092 horizon_rmse=0.847954
epoch=0087 train=1.626073 validation=1.797685 traj_rmse=0.862813 horizon_rmse=0.853521
epoch=0088 train=1.655233 validation=1.672656 traj_rmse=0.860643 horizon_rmse=0.850720
epoch=0089 train=1.643825 validation=1.627975 traj_rmse=0.866378 horizon_rmse=0.857335
epoch=0090 train=1.620814 validation=1.800270 traj_rmse=0.860366 horizon_rmse=0.852633
epoch=0091 train=1.739702 validation=2.024591 traj_rmse=0.868770 horizon_rmse=0.858302
epoch=0092 train=1.673485 validation=1.670364 traj_rmse=0.855633 horizon_rmse=0.845197
epoch=0093 train=1.660945 validation=1.686632 traj_rmse=0.876851 horizon_rmse=0.868812
epoch=0094 train=1.617214 validation=1.745027 traj_rmse=0.871339 horizon_rmse=0.860966
epoch=0095 train=1.596794 validation=1.669090 traj_rmse=0.873367 horizon_rmse=0.860615
epoch=0096 train=1.597655 validation=1.621376 traj_rmse=0.874838 horizon_rmse=0.863368
epoch=0097 train=1.584721 validation=1.623240 traj_rmse=0.856460 horizon_rmse=0.846251
epoch=0098 train=1.563050 validation=1.597373 traj_rmse=0.871615 horizon_rmse=0.860420
epoch=0099 train=1.539382 validation=1.587671 traj_rmse=0.864329 horizon_rmse=0.854267
epoch=0100 train=1.536246 validation=1.550363 traj_rmse=0.871268 horizon_rmse=0.855743
epoch=0101 train=1.491589 validation=1.545377 traj_rmse=0.879107 horizon_rmse=0.868970
epoch=0102 train=1.464231 validation=1.492202 traj_rmse=0.869768 horizon_rmse=0.857653
epoch=0103 train=1.461182 validation=1.514965 traj_rmse=0.887677 horizon_rmse=0.880041
epoch=0104 train=1.452032 validation=1.463941 traj_rmse=0.856644 horizon_rmse=0.847009
epoch=0105 train=1.447471 validation=1.476772 traj_rmse=0.859689 horizon_rmse=0.849562
epoch=0106 train=1.421656 validation=1.509672 traj_rmse=0.883229 horizon_rmse=0.871714
epoch=0107 train=1.421348 validation=1.495598 traj_rmse=0.872065 horizon_rmse=0.861884
epoch=0108 train=1.428279 validation=1.476008 traj_rmse=0.868068 horizon_rmse=0.853613
epoch=0109 train=1.417161 validation=1.486231 traj_rmse=0.874259 horizon_rmse=0.864394
epoch=0110 train=1.413918 validation=1.450154 traj_rmse=0.861114 horizon_rmse=0.851463
epoch=0111 train=1.401144 validation=1.425908 traj_rmse=0.859293 horizon_rmse=0.849438
epoch=0112 train=1.403246 validation=1.434860 traj_rmse=0.857764 horizon_rmse=0.846474
epoch=0113 train=1.396296 validation=1.467351 traj_rmse=0.863913 horizon_rmse=0.852530
epoch=0114 train=1.386933 validation=1.442417 traj_rmse=0.864661 horizon_rmse=0.856455
epoch=0115 train=1.381360 validation=1.412174 traj_rmse=0.854396 horizon_rmse=0.846136
epoch=0116 train=1.389403 validation=1.456076 traj_rmse=0.880627 horizon_rmse=0.877025
epoch=0117 train=1.375334 validation=1.470826 traj_rmse=0.882289 horizon_rmse=0.862611
epoch=0118 train=1.367942 validation=1.473635 traj_rmse=0.881170 horizon_rmse=0.871438
epoch=0119 train=1.378605 validation=1.380961 traj_rmse=0.854138 horizon_rmse=0.848254
epoch=0120 train=1.384472 validation=1.389431 traj_rmse=0.853732 horizon_rmse=0.846639
epoch=0121 train=1.372128 validation=1.395969 traj_rmse=0.858805 horizon_rmse=0.852702
epoch=0122 train=1.365778 validation=1.404590 traj_rmse=0.859866 horizon_rmse=0.851983
epoch=0123 train=1.355610 validation=1.400690 traj_rmse=0.869944 horizon_rmse=0.864428
epoch=0124 train=1.361219 validation=1.381924 traj_rmse=0.852104 horizon_rmse=0.846004
epoch=0125 train=1.353632 validation=1.400939 traj_rmse=0.866680 horizon_rmse=0.858067
epoch=0126 train=1.349344 validation=1.415461 traj_rmse=0.864521 horizon_rmse=0.852663
epoch=0127 train=1.342019 validation=1.390595 traj_rmse=0.853656 horizon_rmse=0.844831
epoch=0128 train=1.339354 validation=1.376244 traj_rmse=0.860063 horizon_rmse=0.854044
epoch=0129 train=1.342849 validation=1.368654 traj_rmse=0.856962 horizon_rmse=0.847682
epoch=0130 train=1.331778 validation=1.437061 traj_rmse=0.893776 horizon_rmse=0.891690
epoch=0131 train=1.350390 validation=1.396188 traj_rmse=0.867995 horizon_rmse=0.854181
epoch=0132 train=1.335022 validation=1.363982 traj_rmse=0.854028 horizon_rmse=0.847851
epoch=0133 train=1.336521 validation=1.394201 traj_rmse=0.873132 horizon_rmse=0.866809
epoch=0134 train=1.326394 validation=1.382394 traj_rmse=0.856647 horizon_rmse=0.847069
epoch=0135 train=1.332304 validation=1.355431 traj_rmse=0.859787 horizon_rmse=0.849344
epoch=0136 train=1.326966 validation=1.362377 traj_rmse=0.853958 horizon_rmse=0.847063
epoch=0137 train=1.320979 validation=1.345011 traj_rmse=0.853368 horizon_rmse=0.847058
epoch=0138 train=1.317954 validation=1.369004 traj_rmse=0.864116 horizon_rmse=0.856865
epoch=0139 train=1.323696 validation=1.349101 traj_rmse=0.848507 horizon_rmse=0.842335
epoch=0140 train=1.319349 validation=1.405598 traj_rmse=0.869596 horizon_rmse=0.858764
epoch=0141 train=1.314260 validation=1.360452 traj_rmse=0.858425 horizon_rmse=0.851444
epoch=0142 train=1.317713 validation=1.339362 traj_rmse=0.853758 horizon_rmse=0.845887
epoch=0143 train=1.309987 validation=1.364271 traj_rmse=0.862625 horizon_rmse=0.852249
epoch=0144 train=1.306549 validation=1.345912 traj_rmse=0.857989 horizon_rmse=0.852124
epoch=0145 train=1.301891 validation=1.326460 traj_rmse=0.850388 horizon_rmse=0.844165
epoch=0146 train=1.304708 validation=1.334053 traj_rmse=0.850948 horizon_rmse=0.844810
epoch=0147 train=1.303002 validation=1.336592 traj_rmse=0.856347 horizon_rmse=0.847832
epoch=0148 train=1.302604 validation=1.336732 traj_rmse=0.850919 horizon_rmse=0.845082
epoch=0149 train=1.299379 validation=1.337978 traj_rmse=0.858833 horizon_rmse=0.855080
epoch=0150 train=1.298901 validation=1.324981 traj_rmse=0.848718 horizon_rmse=0.842961
download/flow-matching/dynamics/fix-h24-l512/fix-h24-l512.pt
