epoch=0001 train=2.078121 validation=1.825399 traj_rmse=0.883949 horizon_rmse=0.906018
epoch=0002 train=1.767586 validation=1.825486 traj_rmse=0.895985 horizon_rmse=0.926088
epoch=0003 train=1.788406 validation=1.895086 traj_rmse=0.884619 horizon_rmse=0.908997
epoch=0004 train=1.896236 validation=2.087872 traj_rmse=0.892306 horizon_rmse=0.911315
epoch=0005 train=2.102082 validation=2.378660 traj_rmse=0.878868 horizon_rmse=0.905976
epoch=0006 train=2.310215 validation=2.602909 traj_rmse=0.885914 horizon_rmse=0.908654
epoch=0007 train=2.564364 validation=3.120904 traj_rmse=0.882045 horizon_rmse=0.903107
epoch=0008 train=2.935869 validation=3.671599 traj_rmse=0.896892 horizon_rmse=0.916195
epoch=0009 train=2.955515 validation=3.329696 traj_rmse=0.905096 horizon_rmse=0.924826
epoch=0010 train=3.319047 validation=3.328118 traj_rmse=0.877410 horizon_rmse=0.896742
epoch=0011 train=3.190086 validation=3.588716 traj_rmse=0.874019 horizon_rmse=0.889141
epoch=0012 train=3.270956 validation=4.208393 traj_rmse=0.915083 horizon_rmse=0.937868
epoch=0013 train=3.482297 validation=3.410952 traj_rmse=0.886604 horizon_rmse=0.901060
epoch=0014 train=3.252094 validation=3.986069 traj_rmse=0.908907 horizon_rmse=0.922210
epoch=0015 train=3.156029 validation=3.332329 traj_rmse=0.886930 horizon_rmse=0.897512
epoch=0016 train=3.139102 validation=4.082346 traj_rmse=0.894410 horizon_rmse=0.914622
epoch=0017 train=3.196917 validation=3.354687 traj_rmse=0.888771 horizon_rmse=0.900579
epoch=0018 train=3.115564 validation=3.374672 traj_rmse=0.880735 horizon_rmse=0.893996
epoch=0019 train=3.156150 validation=4.322929 traj_rmse=0.897876 horizon_rmse=0.916810
epoch=0020 train=3.058548 validation=3.811219 traj_rmse=0.883278 horizon_rmse=0.896118
epoch=0021 train=3.108035 validation=3.169466 traj_rmse=0.879149 horizon_rmse=0.888029
epoch=0022 train=3.071763 validation=3.442262 traj_rmse=0.881808 horizon_rmse=0.895929
epoch=0023 train=3.049639 validation=3.678801 traj_rmse=0.873191 horizon_rmse=0.886764
epoch=0024 train=3.045085 validation=3.259245 traj_rmse=0.872465 horizon_rmse=0.883851
epoch=0025 train=3.106768 validation=3.499552 traj_rmse=0.917951 horizon_rmse=0.929311
epoch=0026 train=2.946687 validation=3.180299 traj_rmse=0.883299 horizon_rmse=0.896245
epoch=0027 train=2.906414 validation=3.178712 traj_rmse=0.873941 horizon_rmse=0.885167
epoch=0028 train=3.067539 validation=3.345194 traj_rmse=0.928423 horizon_rmse=0.931614
epoch=0029 train=2.788485 validation=3.030114 traj_rmse=0.882585 horizon_rmse=0.893381
epoch=0030 train=2.816446 validation=3.187727 traj_rmse=0.877796 horizon_rmse=0.889385
epoch=0031 train=2.862575 validation=3.351679 traj_rmse=0.902239 horizon_rmse=0.913408
epoch=0032 train=3.043458 validation=3.081039 traj_rmse=0.875691 horizon_rmse=0.888663
epoch=0033 train=3.243091 validation=3.104839 traj_rmse=0.898517 horizon_rmse=0.911771
epoch=0034 train=2.648667 validation=3.016927 traj_rmse=0.868576 horizon_rmse=0.880894
epoch=0035 train=2.719329 validation=4.096304 traj_rmse=0.908090 horizon_rmse=0.934397
epoch=0036 train=2.792575 validation=2.795967 traj_rmse=0.866748 horizon_rmse=0.878443
epoch=0037 train=2.813841 validation=2.867722 traj_rmse=0.872672 horizon_rmse=0.886857
epoch=0038 train=2.747081 validation=2.874113 traj_rmse=0.883668 horizon_rmse=0.899904
epoch=0039 train=2.775276 validation=3.130329 traj_rmse=0.980180 horizon_rmse=0.999839
epoch=0040 train=2.634629 validation=2.860452 traj_rmse=0.913198 horizon_rmse=0.911323
epoch=0041 train=2.720581 validation=2.759634 traj_rmse=0.872028 horizon_rmse=0.886147
epoch=0042 train=2.753846 validation=2.914604 traj_rmse=0.875046 horizon_rmse=0.888085
epoch=0043 train=2.971854 validation=3.553328 traj_rmse=0.878567 horizon_rmse=0.885882
epoch=0044 train=3.131015 validation=2.839781 traj_rmse=0.875634 horizon_rmse=0.888208
epoch=0045 train=2.730890 validation=2.881960 traj_rmse=0.892118 horizon_rmse=0.907294
epoch=0046 train=2.717814 validation=2.709705 traj_rmse=0.887002 horizon_rmse=0.897342
epoch=0047 train=2.570887 validation=3.449680 traj_rmse=0.919739 horizon_rmse=0.939696
epoch=0048 train=2.615648 validation=2.628211 traj_rmse=0.867093 horizon_rmse=0.880009
