epoch=0069 train=2.785611 validation=3.530890 traj_rmse=0.882046 horizon_rmse=0.879573
epoch=0070 train=3.154070 validation=2.066270 traj_rmse=0.875394 horizon_rmse=0.864941
epoch=0071 train=2.939534 validation=2.252723 traj_rmse=0.877224 horizon_rmse=0.875014
epoch=0072 train=2.248723 validation=1.963648 traj_rmse=0.868578 horizon_rmse=0.853401
epoch=0073 train=2.586495 validation=2.526897 traj_rmse=0.868296 horizon_rmse=0.854765
epoch=0074 train=2.545199 validation=4.046771 traj_rmse=0.881792 horizon_rmse=0.888254
epoch=0075 train=3.379828 validation=2.105888 traj_rmse=0.872900 horizon_rmse=0.860804
epoch=0076 train=4.392852 validation=3.560054 traj_rmse=0.895527 horizon_rmse=0.888767
epoch=0077 train=2.528972 validation=2.449880 traj_rmse=0.873535 horizon_rmse=0.861227
epoch=0078 train=2.650559 validation=2.066661 traj_rmse=0.869983 horizon_rmse=0.847246
epoch=0079 train=2.391969 validation=1.909579 traj_rmse=0.882586 horizon_rmse=0.862808
epoch=0080 train=2.501699 validation=2.269096 traj_rmse=0.883398 horizon_rmse=0.853279
epoch=0081 train=3.285774 validation=4.098262 traj_rmse=0.878340 horizon_rmse=0.860663
epoch=0082 train=3.224074 validation=2.297584 traj_rmse=0.873643 horizon_rmse=0.867079
epoch=0083 train=2.716050 validation=2.115868 traj_rmse=0.869886 horizon_rmse=0.862277
epoch=0084 train=2.335721 validation=2.218307 traj_rmse=0.867295 horizon_rmse=0.861287
epoch=0085 train=2.264578 validation=2.003181 traj_rmse=0.875087 horizon_rmse=0.847106
epoch=0086 train=2.849908 validation=2.725904 traj_rmse=0.879725 horizon_rmse=0.875781
epoch=0087 train=2.553355 validation=2.162078 traj_rmse=0.882544 horizon_rmse=0.865851
epoch=0088 train=2.352920 validation=2.208013 traj_rmse=0.865821 horizon_rmse=0.849429
epoch=0089 train=2.187405 validation=2.224567 traj_rmse=0.865330 horizon_rmse=0.848574
