epoch=0069 train=1.893615 validation=1.796304 traj_rmse=0.867138 horizon_rmse=0.853724
epoch=0070 train=1.890143 validation=2.049621 traj_rmse=0.865677 horizon_rmse=0.852288
epoch=0071 train=1.754572 validation=1.769370 traj_rmse=0.875274 horizon_rmse=0.862289
epoch=0072 train=1.694026 validation=1.908806 traj_rmse=0.872759 horizon_rmse=0.859218
epoch=0073 train=1.753235 validation=1.987521 traj_rmse=0.870573 horizon_rmse=0.859880
epoch=0074 train=1.645696 validation=1.805520 traj_rmse=0.879470 horizon_rmse=0.865824
epoch=0075 train=1.641838 validation=1.709413 traj_rmse=0.870790 horizon_rmse=0.859627
epoch=0076 train=1.637942 validation=1.706035 traj_rmse=0.872703 horizon_rmse=0.860302
epoch=0077 train=1.624669 validation=1.816627 traj_rmse=0.944945 horizon_rmse=0.939193
epoch=0078 train=1.654922 validation=1.730308 traj_rmse=0.910379 horizon_rmse=0.897427
epoch=0079 train=1.639792 validation=1.639729 traj_rmse=0.889759 horizon_rmse=0.879285
epoch=0080 train=1.652732 validation=1.959730 traj_rmse=0.866824 horizon_rmse=0.853337
download/flow-matching/dynamics/dyn-h24/dyn-h24.pt
